date;parcelle;bloc;variete;culture;plante;nb_feuille;H_fev;d_collet;h_tige;weight_fresh;weight_dry;h-tige 2;H_tige_verte;nb_piqures;Piqures;Pollen_beetle;splitting;nb_ramification;bushy;Tortuotype;tortuo_A;tortuo_B;tortuo_C
02.11.2022;52;2;1;mono;12;11;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;1;mono;13;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;1;mono;14;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;1;mono;15;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;mono;1;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;mono;2;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;mono;3;10;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;mono;4;3;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;mono;5;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;mono;6;11;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;mono;7;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;mono;8;11;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;mono;9;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;mono;10;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;mono;11;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;mono;12;5;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;mono;13;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;mono;14;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;4;mono;15;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;asso;1;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
